Colony,Nest,Day,ScaledX,ScaledY,Bin,CoordID,Density
20,Tube,4,3.585343228,3.759276438,5,40,Low
20,Tube,7,2.242637342,1.744617669,2,24,Low
11,Circle,3,4.61143401,3.06200145,8,64,Low
17,Circle,7,3.632380952,2.59047619,6,87,Low
19,Tube,8,1.631,1.783,3,NA,Low
11,Circle,3,3.207034083,3.063814358,8,76,Low
19,Tube,8,1.859,3.095,4,NA,Low
11,Circle,3,2.922407542,3.125453227,8,77,Low
19,Tube,8,3.748,3.08,5,NA,Low
19,Tube,8,4.567,3.224,5,NA,Low
